day(UT),time(UT), mjd(day), sol(deg), ra(deg), ra sd(deg), de(deg), de sd(deg), vg(km/s), vg sd(km/s), a(AU), a sd(AU), 1/a(1/AU), 1/a sd(1/AU), q(AU), q sd(AU), e, e sd, peri(deg), peri sd(deg), node(deg), incl(deg), incl sd(deg), amag, dur(sec), lng1(deg), lat1(deg), H1(km), lng2(deg), lat2(deg), H2(km), L(km), Nrstar, Qc(deg), Ncam,  Er(deg), Ncam_org, Er_org (deg), Shower, dr, dv, dd, ZF, NightTime(hour), ZHR, 
2023/08/23, 14:07:20,60179.58843,149.8822,319.828,0,-23.255,0,12.248,0,1.628,0,0.6144,0,0.818,0,0.4974,0,64.869,0,329.8874,2.7263,0,-0.8,0.183,136.7037,36.095,79.6,136.7031,36.1162,77.7,3.1,34,42.9,2,0,2,0, spo,-1,-1,-1,1.59,7.69,0.2068,
2023/08/23, 14:14:28,60179.59338,149.8869,160.742,0,73.235,0,38.125,0,17.921,0,0.0558,0,0.824,0,0.954,0,128.3581,0,149.8868,59.0495,0,-0.6,0.784,136.7488,35.9968,100.2,136.7766,35.7415,88.9,31,33,36.1,2,0,2,0, spo,-1,-1,-1,2.726,7.73,0.3528,
2023/08/23, 14:36:45,60179.60886,149.9018,282.274,0,52.319,0,14.59,0,1.601,0,0.6248,0,0.99,0,0.3815,0,202.5192,0,149.9013,24.092,0,-0.4,0.467,138.4361,36.8464,77.1,138.475,36.8179,69.4,9.1,22,1.3,2,0,2,0, spo,-1,-1,-1,1.172,7.63,0.1536,
2023/08/23, 18:20:35,60179.76431,150.0516,38.014,0,66.033,0,52.863,0,4.656,0,0.2148,0,1.011,0,0.7828,0,177.9711,0,150.0517,98.9569,0,-0.7,0.334,136.9888,34.7829,105.8,136.9683,34.6983,90.4,18.2,50,23,2,0,2,0, spo,-1,-1,-1,1.182,7.82,0.1512,
2023/08/23, 18:57:06,60179.78966,150.0761,57.012,0,-8.399,0,65.08,0,72.752,0,0.0137,0,0.975,0,0.9866,0,22.0395,0,330.0758,132.529,0,-1.5,0.25,138.2263,35.8731,108.8,138.1556,35.9697,97.8,16.8,63,39.1,2,0,2,0, spo,-1,-1,-1,1.523,7.71,0.1976,
2023/08/24, 11:46:51,60180.49088,150.7519,320.179,0,49.394,0,34.056,0,13.799,0,0.0725,0,0.841,0,0.939,0,229.1875,0,150.7517,51.3024,0,-0.9,0.267,137.7696,36.9788,94.5,137.7327,36.956,86.1,9.3,85,22.9,2,0,2,0, spo,-1,-1,-1,1.12,7.66,0.1463,
2023/08/24, 11:46:53,60180.49089,150.7519,353.338,0,0.59,0,33.844,0,1.748,0,0.5722,0,0.158,0,0.9098,0,320.5287,0,150.75,6.6823,0,-1.6,0.35,137.9229,36.9055,89.3,137.8051,36.9293,85.1,11.8,26,13.6,2,0,2,0, spo,-1,-1,-1,2.805,7.66,0.3662,
2023/08/24, 12:42:18,60180.52938,150.789,22.919,0,21.421,0,57.771,0,2.394,0,0.4177,0,0.292,0,0.8781,0,301.4199,0,150.7894,149.6289,0,-0.2,0.733,137.3969,35.9091,115.6,136.8983,35.8098,99.6,49.8,112,31.8,3,0,3,0, spo,-1,-1,-1,3.113,7.76,0.4009,
2023/08/24, 13:00:46,60180.54221,150.8014,312.842,0,-32.916,0,18.32,0,8.509,0,0.1175,0,0.835,0,0.9018,0,50.6858,0,330.8032,7.1937,0,-1.1,2.419,138.6817,37.4944,96.7,138.6197,37.9056,75.1,51.4,43,75,4,0,4,0, spo,-1,-1,-1,2.358,7.57,0.3116,
2023/08/24, 13:51:30,60180.57744,150.8353,252.223,0,65.879,0,21.696,0,2.554,0,0.3915,0,1.007,0,0.6057,0,171.7034,0,150.835,35.072,0,-1.7,1.285,139.1041,37.2416,97.7,139.2255,37.0709,75.2,31.5,50,47.8,3,0,3,0, spo,-1,-1,-1,1.396,7.65,0.1826,
2023/08/24, 14:45:45,60180.61511,150.8716,300.535,0,14.521,0,20.779,0,35.098,0,0.0285,0,0.859,0,0.9755,0,225.9637,0,150.871,17.7061,0,-1.4,0.551,137.6022,36.9732,93.4,137.6597,37.0013,84,11.2,147,38.9,2,0,2,0, spo,-1,-1,-1,1.186,7.65,0.155,
2023/08/24, 14:45:59,60180.61527,150.8718,47.177,0,51.231,0,71.593,0,-1.323,0,-0.756,0,1.01,0,1.7638,0,182.7482,0,150.872,129.2214,0,-2,0.15,139.5218,36.229,95.1,139.4381,36.17,87.4,12.7,36,72.9,2,0,2,0, spo,-1,-1,-1,1.657,7.73,0.2143,
2023/08/24, 15:06:03,60180.62921,150.8852,338.384,0,-14.47,0,30.296,0,14.1,0,0.0709,0,0.446,0,0.9684,0,97.8105,0,330.8875,5.5052,0,-1.3,0.283,139.1898,36.2561,93.9,139.1883,36.3278,86.9,10.7,33,67.5,2,0,2,0, spo,-1,-1,-1,1.523,7.72,0.1973,
2023/08/24, 15:18:09,60180.63761,150.8933,70.448,0,18.04,0,67.702,0,3.96,0,0.2525,0,0.903,0,0.772,0,318.9926,0,330.8917,172.4577,0,-3.7,0.851,141.0935,34.4912,114.1,140.4978,34.3712,101.2,58.7,34,16.6,4,0,4,0, spo,-1,-1,-1,4.561,7.89,0.5782,
2023/08/24, 15:24:10,60180.64179,150.8974,94.914,0,86.216,0,49.667,0,-2.162,0,-0.4624,0,0.964,0,1.4458,0,157.1069,0,150.8973,77.5535,0,-1,0.567,139.8852,34.9758,105.5,139.8667,34.7915,91.4,25.1,30,32.2,3,0,3,0, spo,-1,-1,-1,1.783,7.85,0.227,
2023/08/24, 15:27:13,60180.64391,150.8994,17.936,0,34.239,0,54.059,0,2.033,0,0.492,0,0.43,0,0.7883,0,287.6432,0,150.8995,119.7659,0,-0.2,0.217,137.7659,36.1414,100.9,137.6957,36.1343,89.3,13.3,213,75.9,4,0,4,0, spo,-1,-1,-1,1.147,7.74,0.1483,
2023/08/24, 15:27:54,60180.64438,150.8999,59.256,0,43.759,0,63.153,0,2.802,0,0.3569,0,0.987,0,0.6478,0,159.946,0,150.9001,139.3299,0,-1.1,0.35,138.6981,34.825,110.8,138.5263,34.7307,98.4,22.8,81,34.1,2,0,2,0, spo,-1,-1,-1,1.851,7.86,0.2355,
2023/08/24, 15:32:15,60180.64741,150.9028,33.409,0,23.516,0,65.606,0,8.575,0,0.1166,0,0.631,0,0.9264,0,257.3698,0,150.9034,160.4992,0,-1.9,0.267,140.0784,34.4135,109,139.9514,34.4162,96.1,17.5,42,30.5,2,0,2,0, spo,-1,-1,-1,1.363,7.89,0.1728,
